tempo,theta_numerico,theta_analitico
0.0000000000,2.0000000000,2.0000000000
0.0100000000,1.9995539744,1.9990190802
0.0300000000,1.9959846795,1.9911774940
0.0700000000,1.9781093851,1.9521232441
0.1500000000,1.8989114499,1.7833052068
0.2500000000,1.7160219773,1.4175685751
0.3500000000,1.4363900049,0.9139015992
0.4500000000,1.0605236679,0.3213114034
0.5500000000,0.6006369917,-0.3025426010
0.6500000000,0.0867650344,-0.8969590135
0.7500000000,-0.4353513576,-1.4041007307
0.8500000000,-0.9172615343,-1.7746225337
0.9500000000,-1.3229439722,-1.9724724099
1.0500000000,-1.6347367753,-1.9783994380
1.1500000000,-1.8491503777,-1.7918269140
1.2500000000,-1.9692548264,-1.4309084661
1.3500000000,-1.9987056391,-0.9307616937
1.4500000000,-1.9386061239,-0.3400512033
1.5500000000,-1.7867905718,0.2837464903
1.6500000000,-1.5393119518,0.8799354660
1.7500000000,-1.1945294518,1.3905061485
1.8500000000,-0.7599371370,1.7657796784
1.9500000000,-0.2593872837,1.9692416973
2.0500000000,0.2655813132,1.9810952184
2.1500000000,0.7655611197,1.8001868863
2.2500000000,1.1991882430,1.4441191994
2.3500000000,1.5428319871,0.9475377753
2.4500000000,1.7891534108,0.3587603094
2.5500000000,1.9398562391,-0.2649247680
2.6500000000,1.9988846497,-0.8628324931
2.7500000000,1.9683696894,-1.3767860555
