tempo,theta,omega
0.0000000000,1.0000000000,0.0000000000
0.0100000000,0.9995872767,-0.0825410101
0.0300000000,0.9962868045,-0.2474477252
0.0700000000,0.9798196742,-0.5753166492
0.1500000000,0.9080785099,-1.2127252312
0.2500000000,0.7496143396,-1.9391141506
0.3500000000,0.5249142367,-2.5254254769
0.4500000000,0.2516528593,-2.8984981465
0.5500000000,-0.0456784044,-2.9998030229
0.6500000000,-0.3385990737,-2.8116334578
0.7500000000,-0.5993920927,-2.3662434922
0.8500000000,-0.8054670994,-1.7296037818
0.9500000000,-0.9413713916,-0.9742674614
1.0500000000,-0.9984213675,-0.1614843739
1.1500000000,-0.9733777021,0.6601102198
1.2500000000,-0.8676314424,1.4443959306
1.3500000000,-0.6875797212,2.1357272033
1.4500000000,-0.4458910820,2.6647690033
1.5500000000,-0.1624490831,2.9598978595
1.6500000000,0.1366201893,2.9726241558
1.7500000000,0.4225313418,2.7007063796
1.8500000000,0.6687502995,2.1893189060
1.9500000000,0.8547734751,1.5091999982
2.0500000000,0.9673245378,0.7305906478
2.1500000000,0.9995165570,-0.0896526248
