tempo,theta_numerico,theta_analitico
0.0000000000,0.1000000000,0.1000000000
0.0100000000,0.0999510357,0.0999509540
0.0300000000,0.0995596079,0.0995588747
0.0700000000,0.0976101026,0.0976061622
0.1500000000,0.0891823597,0.0891652603
0.2500000000,0.0709203123,0.0708784288
0.3500000000,0.0457635813,0.0456950800
0.4500000000,0.0161558097,0.0160655702
0.5500000000,-0.0150237568,-0.0151271300
0.6500000000,-0.0447416827,-0.0448479507
0.7500000000,-0.0701079204,-0.0702050365
0.8500000000,-0.0886583507,-0.0887311267
0.9500000000,-0.0985934455,-0.0986236205
1.0500000000,-0.0989505209,-0.0989199719
1.1500000000,-0.0896949893,-0.0895913457
1.2500000000,-0.0717236251,-0.0715454233
1.3500000000,-0.0467796050,-0.0465380847
1.4500000000,-0.0172857909,-0.0170025602
1.5500000000,0.0138897431,0.0141873245
1.6500000000,0.0437139571,0.0439967733
1.7500000000,0.0692863828,0.0695253074
1.8500000000,0.0881227506,0.0882889839
1.9500000000,0.0983957044,0.0984620849
2.0500000000,0.0991097913,0.0990547609
