tempo,theta,omega
0.0000000000,1.5000000000,0.0000000000
0.0100000000,1.4995107315,-0.0978531241
0.0300000000,1.4955967904,-0.2935316495
0.0700000000,1.4760329582,-0.6845523543
0.1500000000,1.3901014297,-1.4622274678
0.2500000000,1.1962497925,-2.4062679058
0.3500000000,0.9118118973,-3.2597158712
0.4500000000,0.5508753180,-3.9153158023
0.5500000000,0.1395805904,-4.2475102467
0.6500000000,-0.2850557134,-4.1761734124
0.7500000000,-0.6827064600,-3.7195042547
0.8500000000,-1.0195506952,-2.9812977366
0.9500000000,-1.2737937760,-2.0866442418
1.0500000000,-1.4347991445,-1.1279336879
1.1500000000,-1.4988280864,-0.1516093611
1.2500000000,-1.4650781391,0.8261455835
1.3500000000,-1.3339229661,1.7934057272
1.4500000000,-1.1078501690,2.7155494969
1.5500000000,-0.7948582178,3.5147927972
1.6500000000,-0.4129487144,4.0722199254
1.7500000000,0.0075116369,4.2698548266
1.8500000000,0.4272520174,4.0581451004
1.9500000000,0.8071818109,3.4900125210
2.0500000000,1.1173513267,2.6845991578
2.1500000000,1.3401755424,1.7598339385
2.2500000000,1.4679266825,0.7918225508
2.3500000000,1.4982368101,-0.1860300344
