tempo,theta_numerico,theta_analitico
0.0000000000,1.5000000000,1.5000000000
0.0100000000,1.4995107315,1.4992643101
0.0300000000,1.4955967904,1.4933831205
0.0700000000,1.4760329582,1.4640924331
0.1500000000,1.3901014297,1.3374789051
0.2500000000,1.1962497925,1.0631764313
0.3500000000,0.9118118973,0.6854261994
0.4500000000,0.5508753180,0.2409835525
0.5500000000,0.1395805904,-0.2269069507
0.6500000000,-0.2850557134,-0.6727192601
0.7500000000,-0.6827064600,-1.0530755480
0.8500000000,-1.0195506952,-1.3309669002
0.9500000000,-1.2737937760,-1.4793543075
1.0500000000,-1.4347991445,-1.4837995785
1.1500000000,-1.4988280864,-1.3438701855
1.2500000000,-1.4650781391,-1.0731813495
1.3500000000,-1.3339229661,-0.6980712703
1.4500000000,-1.1078501690,-0.2550384025
1.5500000000,-0.7948582178,0.2128098678
1.6500000000,-0.4129487144,0.6599515995
1.7500000000,0.0075116369,1.0428796114
1.8500000000,0.4272520174,1.3243347588
1.9500000000,0.8071818109,1.4769312730
2.0500000000,1.1173513267,1.4858214138
2.1500000000,1.3401755424,1.3501401647
2.2500000000,1.4679266825,1.0830893996
2.3500000000,1.4982368101,0.7106533314
