tempo,theta,omega
0.0000000000,2.0000000000,0.0000000000
0.0100000000,1.9995539744,-0.0892081452
0.0300000000,1.9959846795,-0.2677697026
0.0700000000,1.9781093851,-0.6264684205
0.1500000000,1.8989114499,-1.3572302269
0.2500000000,1.7160219773,-2.3076998358
0.3500000000,1.4363900049,-3.2854103938
0.4500000000,1.0605236679,-4.2127799068
0.5500000000,0.6006369917,-4.9346575602
0.6500000000,0.0867650344,-5.2641267849
0.7500000000,-0.4353513576,-5.0945795257
0.8500000000,-0.9172615343,-4.4826070910
0.9500000000,-1.3229439722,-3.6025138012
1.0500000000,-1.6347367753,-2.6289201597
1.1500000000,-1.8491503777,-1.6654799118
1.2500000000,-1.9692548264,-0.7432068028
1.3500000000,-1.9987056391,0.1522394945
1.4500000000,-1.9386061239,1.0535963875
1.5500000000,-1.7867905718,1.9899614917
1.6500000000,-1.5393119518,2.9635284646
1.7500000000,-1.1945294518,3.9210042119
1.8500000000,-0.7599371370,4.7314930822
1.9500000000,-0.2593872837,5.2085090902
2.0500000000,0.2655813132,5.2054829039
2.1500000000,0.7655611197,4.7234354528
2.2500000000,1.1991882430,3.9101479167
2.3500000000,1.5428319871,2.9518715252
2.4500000000,1.7891534108,1.9785737271
2.5500000000,1.9398562391,1.0427182049
2.6500000000,1.9988846497,0.1416321117
2.7500000000,1.9683696894,-0.7539526299
