tempo,theta,omega
0.0000000000,0.1000000000,0.0000000000
0.0100000000,0.0999510357,-0.0097920650
0.0300000000,0.0995596079,-0.0293379747
0.0700000000,0.0976101026,-0.0680103843
0.1500000000,0.0891823597,-0.1415846709
0.2500000000,0.0709203123,-0.2206756485
0.3500000000,0.0457635813,-0.2783465857
0.4500000000,0.0161558097,-0.3089627158
0.5500000000,-0.0150237568,-0.3095226171
0.6500000000,-0.0447416827,-0.2799713156
0.7500000000,-0.0701079204,-0.2232060796
0.8500000000,-0.0886583507,-0.1447739729
0.9500000000,-0.0985934455,-0.0523077109
1.0500000000,-0.0989505209,0.0452248140
1.1500000000,-0.0896949893,0.1383773092
1.2500000000,-0.0717236251,0.2181169571
1.3500000000,-0.0467796050,0.2766860543
1.4500000000,-0.0172857909,0.3083629203
1.5500000000,0.0138897431,0.3100424328
1.6500000000,0.0437139571,0.2815597148
1.7500000000,0.0692863828,0.2257075110
1.8500000000,0.0881227506,0.1479444537
1.9500000000,0.0983957044,0.0558392690
2.0500000000,0.0991097913,-0.0416743229
