tempo,theta_numerico,theta_analitico
0.0000000000,0.5000000000,0.5000000000
0.0100000000,0.4997648586,0.4997547700
0.0300000000,0.4978849425,0.4977943735
0.0700000000,0.4885177477,0.4880308110
0.1500000000,0.4479427621,0.4458263017
0.2500000000,0.3595944365,0.3543921438
0.3500000000,0.2370207916,0.2284753998
0.4500000000,0.0916293503,0.0803278508
0.5500000000,-0.0626488503,-0.0756356502
0.6500000000,-0.2108468931,-0.2242397534
0.7500000000,-0.3387099774,-0.3510251827
0.8500000000,-0.4342619781,-0.4436556334
0.9500000000,-0.4888644188,-0.4931181025
1.0500000000,-0.4977330081,-0.4945998595
1.1500000000,-0.4601023586,-0.4479567285
1.2500000000,-0.3792429139,-0.3577271165
1.3500000000,-0.2623699740,-0.2326904234
1.4500000000,-0.1202885832,-0.0850128008
1.5500000000,0.0334481203,0.0709366226
1.6500000000,0.1839372579,0.2199838665
1.7500000000,0.3166574460,0.3476265371
1.8500000000,0.4191020132,0.4414449196
1.9500000000,0.4819461594,0.4923104243
2.0500000000,0.4996558550,0.4952738046
