tempo,theta,omega
0.0000000000,0.5000000000,0.0000000000
0.0100000000,0.4997648586,-0.0470248970
0.0300000000,0.4978849425,-0.1409127388
0.0700000000,0.4885177477,-0.3269073966
0.1500000000,0.4479427621,-0.6827310040
0.2500000000,0.3595944365,-1.0709475009
0.3500000000,0.2370207916,-1.3613570312
0.4500000000,0.0916293503,-1.5229992775
0.5500000000,-0.0626488503,-1.5373171286
0.6500000000,-0.2108468931,-1.4026159073
0.7500000000,-0.3387099774,-1.1345079469
0.8500000000,-0.4342619781,-0.7620529991
0.9500000000,-0.4888644188,-0.3219988427
1.0500000000,-0.4977330081,0.1459059782
1.1500000000,-0.4601023586,0.6012470537
1.2500000000,-0.3792429139,1.0038651179
1.3500000000,-0.2623699740,1.3154488780
1.4500000000,-0.1202885832,1.5033527322
1.5500000000,0.0334481203,1.5462436821
1.6500000000,0.1839372579,1.4390547586
1.7500000000,0.3166574460,1.1943074101
1.8500000000,0.4191020132,0.8389449422
1.9500000000,0.4819461594,0.4086838785
2.0500000000,0.4996558550,-0.0570456965
